n2,h1,blanks,calculated_length,lloc,multi_comments,difficulty,h2,scloc,smell_type,time,comments,bugs,volume,vocabulary,single_comments,loc,n1,effort,length,avg_params,avg_complexity,avg_func_length,max_func_length,maintainability_index
41,7,30,199.17639,131,60,4.1,35,136,LongMethod,76.15150494,9,0.111441227,334.3236802,42,9,235,21,1370.727089,62,0,0,0,0,0
38,9,26,163.1352628,64,49,6.107142857,28,67,LongMethod,100.7471071,20,0.098979614,296.9388418,37,20,162,19,1813.447927,57,0,0,0,0,0
37,7,8,148.033447,49,0,4.796296296,27,47,LongMethod,77.26976741,2,0.096661794,289.985382,34,1,56,20,1390.855813,57,0,0,0,0,0
4,1,1,4.754887502,23,0,0.666666667,3,45,LongMethod,0.444444444,3,0.004,12.0,4,3,49,2,8.0,6,0,0,0,0,0
109,15,24,533.44585,128,0,10.75657895,76,119,LongMethod,649.4593522,23,0.362267235,1086.801705,91,23,166,58,11690.26834,167,0,0,0,0,0
16,2,6,35.21928095,59,16,1.6,10,59,LongMethod,7.647920002,3,0.0286797,86.03910002,12,3,84,8,137.66256,24,0,0,0,0,0
8,2,15,26.0,57,0,1.0,8,59,LongMethod,2.21461873,5,0.013287712,39.86313714,10,5,79,4,39.86313714,12,0,0,0,0,0
4,1,10,8.0,41,0,0.5,4,47,LongMethod,0.386988016,5,0.004643856,13.93156857,5,5,62,2,6.965784285,6,0,0,0,0,0
52,4,21,142.6059378,83,0,3.714285714,28,108,LongMethod,80.47619048,19,0.13,390.0,32,19,148,26,1448.571429,78,0,0,0,0,0
41,5,19,109.7171361,74,0,4.659090909,22,74,LongMethod,77.53708597,13,0.099852638,299.5579126,27,13,106,22,1395.667548,63,0,0,0,0,0
32,8,7,93.4868683,53,0,7.529411765,17,43,LongMethod,99.06893205,3,0.078945555,236.8366657,25,3,53,19,1783.240777,51,0,0,0,0,0
10,3,6,24.40637196,56,0,2.142857143,7,56,LongMethod,7.118417346,6,0.019931569,59.79470571,10,6,68,8,128.1315122,18,0,0,0,0,0
28,1,4,64.0,43,0,0.875,16,57,LongMethod,8.345236634,9,0.05722448,171.6734393,17,9,70,14,150.2142594,42,0,0,0,0,0
42,4,5,124.0964047,29,0,3.36,25,57,LongMethod,57.1298565,12,0.102017601,306.0528027,29,12,74,21,1028.337417,63,0,0,0,0,0
8,1,3,19.65148445,49,0,0.571428571,7,52,LongMethod,1.142857143,18,0.012,36.0,8,18,73,4,20.57142857,12,0,0,0,0,0
16,4,5,36.52932501,50,0,3.555555556,9,45,LongMethod,18.27377639,9,0.030836998,92.51099295,13,9,59,9,328.9279749,25,0,0,0,0,0
15,2,3,30.52932501,30,0,1.666666667,9,58,LongMethod,7.687625819,3,0.027675453,83.02635885,11,3,64,9,138.3772647,24,0,0,0,0,0
28,2,9,71.4868683,88,0,1.647058824,17,110,LongMethod,16.32536848,9,0.059470985,178.4129556,19,9,128,14,293.8566327,42,0,0,0,0,0
52,3,12,68.7548875,132,0,4.875,16,141,LongMethod,89.73746872,12,0.110446115,331.338346,19,12,165,26,1615.274437,78,0,0,0,0,0
21,7,9,111.8901503,40,30,3.5,21,43,LongMethod,29.91243063,7,0.051278453,153.8353575,28,7,89,11,538.4237513,32,0,0,0,0,0
21,6,10,79.509775,45,0,3.9375,16,47,LongMethod,31.21602133,7,0.047567271,142.7018118,22,7,64,11,561.8883839,32,0,0,0,0,0
35,9,15,169.4107739,93,0,5.431034483,29,92,LongMethod,87.08845227,12,0.096212004,288.6360132,38,12,119,20,1567.592141,55,0,0,0,0,0
130,5,19,448.241686,48,0,4.577464789,71,57,LongMethod,309.8297388,0,0.406115288,1218.345865,76,0,76,65,5576.935298,195,0,0,0,0,0
22,6,5,101.9483369,51,3,3.3,20,53,LongMethod,29.29940758,0,0.05327165,159.8149504,26,0,61,12,527.3893364,34,0,0,0,0,0
29,5,1,127.7060452,63,0,2.9,25,56,LongMethod,34.78440222,0,0.071967729,215.9031862,30,0,57,15,626.11924,44,0,0,0,0,0
35,9,1,144.6257298,54,0,6.3,25,49,LongMethod,99.71427169,5,0.094965973,284.8979191,34,4,54,21,1794.85689,56,0,0,0,0,0
48,5,2,244.9390249,63,0,2.790697674,43,63,LongMethod,62.34376745,0,0.1340391,402.1173001,48,0,65,24,1122.187814,72,0,0,0,0,0
45,7,1,246.1288162,81,7,3.75,42,85,LongMethod,79.54172279,7,0.127266756,381.8002694,49,6,99,23,1431.75101,68,0,0,0,0,0
44,5,1,231.2692727,60,5,2.682926829,41,67,LongMethod,54.33747941,2,0.121518363,364.5550891,46,2,75,22,978.0746293,66,0,0,0,0,0
33,6,1,156.3912239,63,4,3.413793103,29,75,LongMethod,47.66695769,0,0.083778289,251.3348678,35,0,80,16,858.0052385,49,0,0,0,0,0
110,8,5,576.6587689,100,0,5.11627907,86,118,LongMethod,307.4051361,2,0.360502387,1081.507161,94,2,125,55,5533.292449,165,0,0,0,0,0
43,5,1,133.8210731,64,0,4.134615385,26,62,LongMethod,73.96890325,0,0.10734092,322.0227602,31,0,63,22,1331.440258,65,0,0,0,0,0
59,7,0,344.8633601,87,0,3.6875,56,77,LongMethod,108.9815864,0,0.177325971,531.9779132,63,0,77,30,1961.668555,89,0,0,0,0,0
184,14,5,1017.197915,224,6,9.470588235,136,208,LongMethod,1080.165052,21,0.684328169,2052.984508,150,11,230,100,19442.97093,284,0,0,0,0,0
134,12,2,404.7945276,118,6,13.18032787,61,127,LongMethod,951.8123666,3,0.433287719,1299.863157,73,0,135,76,17132.6226,210,0,0,0,0,0
424,17,9,2051.527349,495,0,14.47389558,249,435,LongMethod,4184.332816,21,1.734570818,5203.712453,266,15,459,222,75317.99069,646,0,0,0,0,0
134,11,2,808.7339706,131,0,6.522123894,113,125,LongMethod,521.5954941,0,0.479839545,1439.518636,124,0,127,73,9388.718893,207,0,0,0,0,0
26,5,0,103.8483064,49,0,3.095238095,21,45,LongMethod,33.13934352,1,0.064239343,192.7180284,26,1,46,15,596.5081833,41,0,0,0,0,0
